Original File name;Location;Suppliers Reference;Title;Description;Year;Creator;Keywords;caption;image_id;IMAGE LINK
2810.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/62/57;Box carriage, Jamaica;A box carriage inscribed 'Jamaica Railway 1033' sits on rails at a siding.;1894-1895;;Jamaica;Box carriage, Jamaica;120900;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/d1eafdfe6e942817fd404d708425a46e
2766.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/62/13;Track at Brocadoo Cutting, Jamaica;"A newly completed railway track winds around boulders at 'Brocadoo Cutting', located on an extension line running between Porus and Montego Bay.
Caption in the negative reads: 89 miles. Brocadoo Cutting.";1894-1895;;Jamaica;Track at Brocadoo Cutting, Jamaica;114353;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/32d108a2a6852a2bb20f6756f4e402d7
2757.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/62/4;Railway track across Union Plain, Jamaica;"A railway track stretches into the distance through cultivated fields on Union Plain, located on an extension line running between Porus and Montego Bay.
Caption in the negative reads: 73¼ miles. Union Plain.";1894-1895;;Jamaica;Railway track across Union Plain, Jamaica;116082;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/8ea8fe7fffc655cf5cd9544aea304b7a
2771.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/62/18;Bogue Islands, Jamaica;"View of Bogue Islands in Montego Bay, taken from a newly completed railway track in the mountains, located on an extension line running between Porus and Montego Bay.
Caption in the negative reads: 108¾ miles. Bogue Islands.";1894-1895;;Jamaica;Bogue Islands, Jamaica;120914;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/9f6d258c5425f211a9ac1b249348f955
2813.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/62/60;Combined class carriage, Jamaica;A Jamaica Railway combined first and third class carriage with baggage compartment.;1894-1895;;Jamaica;Combined class carriage, Jamaica;120261;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/fcd6ea595a9fdf5e800f8aac3cde81e4
9746.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/25/2;Passenger train departing from Port of Spain;"A passenger train departs from Port of Spain railway terminus. 
Caption reads: Typical Passenger Train, Port of Spain.";[c.1895];;Trinidad & Tobago;Passenger train departing from Port of Spain;116600;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/4df884e693f9dcffc28dfe31ca5d9ad4
9751.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/25/10;San Fernando railway station, Trinidad;"View across a river looking towards San Fernando railway station, where a steam train waits on the tracks.
Caption reads: San Fernando terminus.";[c.1895];;Trinidad & Tobago;San Fernando railway station, Trinidad;115701;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/580b17625f8c817a406239d92f9f3286
9752.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/25/11;Arouca railway station, Trinidad;"View of Arouca railway station on the Sangre Grande railway line. An original caption identifies the building next door as the 'Collector's Residence'.
Caption reads: Arouca Station & Collectors residence.  (Sangre Grande Line).";[c.1895];;Trinidad & Tobago;Arouca railway station, Trinidad;121190;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/b12865cff9b420020c8f41c4262850b7
2763.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/62/10;Flying Arch Bridge, Jamaica;"A newly completed stretch of mountainside railway track runs beneath a high arch identified as 'Flying Arch Bridge', located on an extension line running between Porus and Montego Bay.
Caption in the negative reads: 86 miles. Flying Arch Bridge.";1894-1895;;Jamaica;Flying Arch Bridge, Jamaica;119554;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/d005953a81ea1bf5f8eac7b53b4b0895
2806.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/62/53;No. 2 steam locomotive in Jamaica;A British-manufactured steam locomotive sits on rails at a siding. A plaque on its side reads: 'Jamaica Railway 2', followed by a date which appears to read '1879'.;1894-1895;;Jamaica;No. 2 steam locomotive in Jamaica;120814;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/eefe383c73bbf5df5653780701d8c698
2798.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/62/45;Railway construction site, Jamaica;"Labourers at work on a construction site, landscaping a bank of earth to accomodate a new railway track. 
Caption in the negative reads: Wm. Kenefick- 48,000 cu.yds. Cut - 17th.mile - Kenefick's work.";1894-1895;;Jamaica;Railway construction site, Jamaica;116098;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/2efb22ade5cf23983388b7afb59fe5cf
2826.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/62/73;Railway wagon, Jamaica;A closed railway wagon sits on rails at a siding.;1894-1895;;Jamaica;Railway wagon, Jamaica;118878;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/b35c2db9ce0db3cfb6333df9ce338103
2012-001-6-2-6A.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/2/6A;Carrying roof;"Ruel: Kuria
Carrying roof";c.1958;;Kenya;Carrying roof;198445;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/c65ba07edc1c3c8d61e534287e733d44
2012-001-6-2-9B.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/2/9B;Views from Renchoka hill;"Ruel: Kuria
Views from Renchoka hill";c.1958;;Kenya;Views from Renchoka hill;198463;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/332a634116d0503764323468c0b334f3
2012-001-6-7-A-006.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/A6;Ibadan, University College, Library;"Ruel Collection: Banyang
Ibadan: University College: Library
14/03/1954";14/03/1954;;Nigeria;Ibadan, University College, Library;184158;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/fe1f65a8e006227a8af7103a8fd9ba4f
2012-001-6-7-AC-001.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AC1;From Rest House, Fontem. Looking through hills to Banyang country;"Ruel Collection: Banyang
From Rest House, Fontem. Looking through hills to Banyang country
April 1954";Apr-54;;Cameroon;From Rest House, Fontem. Looking through hills to Banyang country;185691;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/8be793445ca90151e717553ecc30bf20
2012-001-6-7-AF-002.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AF2;The Dance at [Azaia's?];"Ruel Collection: Banyang
The Dance at [Azaia's?]. Man with spear and white loin bloomers.
May 1954";May-54;;Cameroon;The Dance at [Azaia's?];186058;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/8c92d876138ca0b6e73ae1a0fe9782c1
2012-001-6-7-AF-003.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AF3;The Dance at [Azaia's?];"Ruel Collection: Banyang
The Dance at [Azaia's?]. Man with spear and white loin bloomers.
May 1954";May-54;;Cameroon;The Dance at [Azaia's?];186059;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ee70b82ee6a153ebed2ad0bf13993950
2012-001-6-7-AI-003.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AI3;Boys crossing river;"Ruel Collection: Banyang
Boys crossing river
May 1954";May-54;;Cameroon;Boys crossing river;186075;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/6b70c26de4e193fb2a84477e72399aaf
2012-001-6-7-AJ-004.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AJ4;[Eboz?] as hunter;"Ruel Collection: Banyang
[Eboz?] as hunter
May 1954";May-54;;Cameroon;[Eboz?] as hunter;186079;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/919c41cf8557a7e4d829914bf4ac8e6d
2012-001-6-7-AM-002.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AM2;Empire Day sports, finish 220yds, Junior;"Ruel Collection: Banyang
Empire Day sports, finish 220yds, Junior
May 1954";May-54;;Cameroon;Empire Day sports, finish 220yds, Junior;186085;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/4fe669c3908c53f5942e74f76091d7cd
2012-001-6-7-AP-002.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AP2;Boy;"Ruel Collection: Banyang
Boy
June 1954";Jun-54;;Cameroon;Boy;186103;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/fea579895b922c594ade81d583f24f5c
2012-001-6-7-AQ-002.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AQ2;Dancing at [Elomba?] (Mbo country);"Ruel Collection: Banyang
Dancing at [Elomba?] (Mbo country)
June 1954";Jun-54;;Cameroon;Dancing at [Elomba?] (Mbo country);186109;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/f0a6449edcaafaa57cb622f9c6be35a8
2012-001-6-7-AR-006.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AR6;Mbetta mission, boys on field;"Ruel collection: Banyang
Mbetta mission, boys on field
June 1954";Jun-54;;Cameroon;Mbetta mission, boys on field;188916;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/8c468e74e05632a9474d17c7acf5f5c0
2012-001-6-7-AT-004.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AT4;Children playing;"Ruel collection: Banyang
Children playing
June 1954";Jun-54;;Cameroon;Children playing;188927;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/c1115959fa29e91f94c10d9118150df7
2012-001-6-7-AT-005.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AT5;Dickson and child;"Ruel collection: Banyang
Dickson and child
June 1954";Jun-54;;Cameroon;Dickson and child;188928;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/6554393a69961a1b076243c2ee2194f7
2012-001-6-7-AV-005.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AV5;Bara;"Ruel collection: Banyang
Bara
July 1954";Jul-54;;Cameroon;Bara;188939;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/7fdf0fa7c43ef6617dc6599b507b0e0d
2012-001-6-7-AX-002.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AX2;[Eus Sere?] beating [nkaukau?];"Ruel collection: Banyang
[Eus Sere?] beating [nkaukau?]
July 1954";Jul-54;;Cameroon;[Eus Sere?] beating [nkaukau?];188947;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/f452b33b137917a2a696cb6f930c18ce
2012-001-6-7-AZ-001.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AZ1;Bara village;"Ruel collection: Banyang
Bara village
Sep-Oct 1954";Sep-Oct 1954;;Cameroon;Bara village;188957;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/b664f6ff25dc24835fff31543156db2a
2012-001-6-7-BB-003.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/BB3;Dr Malcolm Ruel in village;"Ruel collection: Banyang
Dr Malcolm Ruel in village
Sep-Oct 1954";Sep-Oct 1954;;Cameroon;Dr Malcolm Ruel in village;188971;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ab8430b48a961be6a2ed4c1ea0ee5fcf
2012-001-6-7-BB-006.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/BB6;Chief Nkwa with children;"Ruel collection: Banyang
Chief Nkwa with children
Sep-Oct 1954";Sep-Oct 1954;;Cameroon;Chief Nkwa with children;188974;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/b34dabad80bdf52e07a448540ce6fd87
2012-001-6-7-BE-006.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/BE6;Ma Ngen;"Ruel collection: Banyang
Ma Ngen
Sep-Oct 1954";Sep-Oct 1954;;Cameroon;Ma Ngen;188980;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/f6390c41746f365eb184eb7e65310ea7
2012-001-6-7-BF-004.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/BF4;[Dare?];"Ruel collection: Banyang
[Dare?]
Sep-Oct 1954";Sep-Oct 1954;;Cameroon;[Dare?];188981;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/0729baf3fcee5aa0c18e0ab8bde6e5e3
2012-001-6-7-BG-001.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/BG1;Basinjom;"Ruel collection: Banyang
Basinjom
Sep-Oct 1954";Sep-Oct 1954;;Cameroon;Basinjom;188983;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/9a35371b3d1c38dbaf0ce55d1bae388f
2012-001-6-7-BG-006.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/BG6;Dickson running;"Ruel collection: Banyang
Dickson running
Sep-Oct 1954";Sep-Oct 1954;;Cameroon;Dickson running;188988;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/f6f0e70b0d32638fb0017bcc29fac27b
2012-001-6-7-BH-001.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/BH1;Basinjom;"Ruel collection: Banyang
Basinjom
Sep-Oct 1954";Sep-Oct 1954;;Cameroon;Basinjom;189459;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/2c9f208d12fedb69c7359b6d1ff60d30
2012-001-6-7-E-003.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/E3;Ibadan: Market;"Ruel Collection: Banyang
Ibadan: Market
15/03/1954";15/03/1954;;Nigeria;Ibadan: Market;184212;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/39c569074c226b56d533cddb0cc5ba36
2012-001-6-7-F-002.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/F2;Ibadan: Town and market, Yoruba woman;"Ruel Collection: Banyang
Ibadan: Town and market, Yoruba woman
19/03/1954";19/03/1954;;Nigeria;Ibadan: Town and market, Yoruba woman;184217;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/fa99ee07912d23eb59650a93524d1388
2012-001-6-7-H-004.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/H4;Ibadan, Hausa quarter, Osinan, a Mallam, visiting from the 'bush';"Ruel collection: Banyang
Ibadan, Hausa quarter, Osinan, a Mallam, visiting from the 'bush'
24/03/1954";24/03/1954;;Nigeria;Ibadan, Hausa quarter, Osinan, a Mallam, visiting from the 'bush';184816;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/0109c65df8a500592fe0fa1c85d77e15
2012-001-6-7-I-001.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/I1;Ibadan, street in town;"Ruel collection: Banyang
Ibadan, street in town
23/03/1954";23/03/1954;;Nigeria;Ibadan, street in town;184820;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/bc18608384b9545dc82a0a6d00044a4f
2012-001-6-7-J-001.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/J1;Ibadan, Market, meat-seller;"Ruel collection: Banyang
Ibadan, Market, meat-seller
23/03/1954";23/03/1954;;Nigeria;Ibadan, Market, meat-seller;184830;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/3c13740fbed0167651b293158b9f418c
2012-001-6-7-O-006.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/O6;Mfu river downstream, outside Tali Rest House;"Ruel Collection: Banyang
Mfu river downstream, outside Tali Rest House
08/04/1954";08/04/1954;;Cameroon;Mfu river downstream, outside Tali Rest House;184864;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/bf24e670d764a720127e0cd5d76b4d14
2012-001-6-7-P-003.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/P3;[Tabogo's?] wife with Mpe;"Ruel Collection: Banyang
[Tabogo's?] wife with Mpe
11/04/1954";11/04/1954;;Cameroon;[Tabogo's?] wife with Mpe;184866;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/c07d0c53f412c500370c7194092e681f
2012-001-6-7-R-004.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/R4;Bekundi meeting, butchering the first goat;"Ruel Collection: Banyang
Bekundi meeting, butchering the first goat
14/04/1954";14/04/1954;;Cameroon;Bekundi meeting, butchering the first goat;184875;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/d8b1f23f7d737d9214d3e7b43091dd3a
2012-001-6-7-S-002.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/S2;Fishing;"Ruel Collection: Banyang
Fishing
15/04/1954";15/04/1954;;Cameroon;Fishing;185634;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/18cf3c50d6d82cee6c3f8b1cb725e487
2012-001-6-7-AB-005.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AB5;From Rest House, Fontem. Looking through hills to Banyang country;"Ruel Collection: Banyang
From Rest House, Fontem. Looking through hills to Banyang country
April 1954";Apr-54;;Cameroon;From Rest House, Fontem. Looking through hills to Banyang country;185689;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/a186d95b516e770eb8ca41971e90ed56
2012-001-6-7-AG-004.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AG4;Looking towards Banyang country from Bangwa;"Ruel Collection: Banyang
Looking towards Banyang country from Bangwa
May 1954";May-54;;Cameroon;Looking towards Banyang country from Bangwa;186067;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/96c4c95af0d5bec01d959bc988493aee
2012-001-6-7-AG-005.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AG5;Looking towards Banyang country from Bangwa;"Ruel Collection: Banyang
Looking towards Banyang country from Bangwa
May 1954";May-54;;Cameroon;Looking towards Banyang country from Bangwa;186069;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/1d82bade2d74bfacb3f211d35e1a403e
2012-001-6-7-AG-002.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AG2;General view of dance - looking down;"Ruel Collection: Banyang
General view of dance - looking down
May 1954";May-54;;Cameroon;General view of dance - looking down;186065;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/a0c49c933839a646eafedafc55d9f3b6
2012-001-6-7-AA-003.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AA3;[Tabogo?] sitting in compound;"Ruel Collection: Banyang
[Tabogo?] sitting in compound
April 1954";Apr-54;;Cameroon;[Tabogo?] sitting in compound;185683;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/01a48805c0ff3fe305b5e77bf1111fce
2012-001-6-7-AE-004.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AE3;Fontem. Sitting;"Ruel Collection: Banyang
Fontem. Sitting
May 1954";May-54;;Cameroon;Fontem. Sitting;185625;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/5aab3af3a0d748b24c9cbdf17e51aab9
2012-001-6-2-9C.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/2/9C;Views from Renchoka hill;"Ruel: Kuria
Views from Renchoka hill";c.1958;;Kenya;Views from Renchoka hill;198464;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/d170802702e97d83fd0ef060756eadc8
2012-001-6-2-7E.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/2/7E;People on roof;"Ruel: Kuria
People on roof";c.1958;;Kenya;People on roof;198454;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/525c5bdabf79e2d859e7a52fb1f43671
2012-001-6-2-7D.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/2/7D;Erecting roof;"Ruel: Kuria
Erecting roof";c.1958;;Kenya;Erecting roof;198453;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/654747a0ba40e64d98cd7cfccb28571f
9026.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/090/1/4/1/68;Sagana Lodge, Nyeri;"View across gardens of Sagana Lodge, the ""Royal Lodge"" presented to Princess Elizabeth who according to Trotter's caption left Kenya without visiting it, although she is believed to in fact have spent one night there. The photograph shows a ground floor timber building with a tiled roof set amongst trees and copious flower boundaries.  A gravel circular drive curves in front of the building.";Feb-52;;Kenya;Sagana Lodge, Nyeri;114585;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/0f097b1be5d1bdc67e18b77b9216493e
2758.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/62/5;Railway track over Maggotty Bridge, Jamaica;"A man operating a hand cart travels across a metal railway bridge, identified as 'Maggotty Bridge', spanning a small river, located on an extension line running between Porus and Montego Bay.
Caption in the negative reads: 79¾ miles. Maggotty Bridge.";1894-1895;;Jamaica;Railway track over Maggotty Bridge, Jamaica;116077;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/2770d0b26382c12fe88f31340bc7003c
9025.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/090/1/4/1/65;Royal party leaving City Hall;Princess Elizabeth and the Duke of Edinburgh, together with the Mayor and Mayoress of Nairobi, stand on the steps of City Hall as they get ready to leave.  The Princess waves as the whole group looks to its right.  In front of the group stands a mace bearer wearing a military uniform.;Feb-52;;Kenya;Royal party leaving City Hall;114596;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/43426749c47b1bb16f205e49f1152af9
8985.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/090/1/4/1/54;St Andrew's Church, Nairobi;Front elevation of St Andrew's Church, built to a contemporary design, a former constituent of the Overseas Presbytery of the Church of Scotland until the formation of the Presbyterian Church of East Africa in 1956. A small path leading up to the entrance is bordered by two Union Jack flags.;Feb-52;;Kenya;St Andrew's Church, Nairobi;115383;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/fe56f57c9f7ee04aca07ac29e33694fc
9008.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/090/1/4/1/31;Royal party leaving Government House;From underneath the white pillars of Government House, Nairobi, Princess Elizabeth and the Duke of Edinburgh walk away from the reception.  Various uniformed guards stand to attention.;Feb-52;;Kenya;Royal party leaving Government House;114602;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/5c990e0dfc9991b67d18b42a12d2c97d
9016.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/090/1/4/1/47;Duke of Edinburgh with Matron, King George VI Hospital;The Duke of Edinburgh, in profile, laughs with a hospital matron during his tour of the hospital.;Feb-52;;Kenya;Duke of Edinburgh with Matron, King George VI Hospital;114872;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/39dc37e110477ef13eb2f4626ecb33a4
2782.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/62/29;Railway viaduct under construction, Jamaica;A railway bridge under construction, spanning the gap across a shallow river bed on the Port Antonio extension.;1894-1895;;Jamaica;Railway viaduct under construction, Jamaica;116063;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/00ad0ca48fe78eab2b38aac3fae9e303
8983.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/090/1/4/1/36;Princess Elizabeth Hospital for Women, Nairobi;Front elevation of the Princess Elizabeth Hospital for Women. Outside of the building flies a Union Jack flag.;Feb-52;;Kenya;Princess Elizabeth Hospital for Women, Nairobi;114652;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/a25f6e0347bf5d2383ea642b1d173076
2815.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/62/62;Railway box wagon, Jamaica;A railway box wagon inscribed 'Jamaica Railway 1039', sits on rails at a siding.;1894-1895;;Jamaica;Railway box wagon, Jamaica;118882;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/9123ac5f983b975cd9232c84c05b3cc5
2821.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/62/68;Railway wagon , Jamaica;A railway wagon inscribed 'J. RY. No.46', sits on rails at a siding.;1894-1895;;Jamaica;Railway wagon , Jamaica;118875;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/6897407dc56bfd6d3091caef1f96c118
BEC 2000-084 [Album-Somalia-selected photos] 18.tif;British Empire and Commonwealth Collections at Bristol Archives;2000/084/1/1/3/81;Group of Somali men with spears and shields;A group of Somali men advance towards the camera carrying spears and shields. This is similar to another image from 2000/084/1/1/6/5 described as a Bimal war dance, Kismayo.;c. 1940;;Somalia;Group of Somali men with spears and shields;234891;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/714e80a31bc8da59fedf2d6144859729
BEC 2000-084 [Album-Somalia-selected photos] 29.tif;British Empire and Commonwealth Collections at Bristol Archives;2000/084/1/1/3/113;Portrait of girl from the Mijjerten tribe;"Portrait of a young woman kneeling in front of a screen.The image is from the studios of Foto Parodi, Mogadishu.

Original manuscript caption: Unmarried girl of the Mijjerten tribe.";c. 1940;;Somalia;Portrait of girl from the Mijjerten tribe;234851;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/59054544cfd10983892c41e81b024dda
2287.tif;British Empire and Commonwealth Collections at Bristol Archives;2000/098/1/38;Emir of Katsena standing outside tent;Caption reads: 'Emir of Katsena'. Showing camp and entourage of Muhammad Dikko dan Gidado, Emir of Katsina. Emir is standing outside tent, with mounted and seated retinue. Embossed 'H.S. Freeman, Photographer, Lagos & Districts'.;[c.1920s];;Nigeria;Emir of Katsena standing outside tent;120690;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/409a3d8cba0e32d836d17a58f4cad150
